날짜,시간대,배송유형,결제건수(상품주문번호),결제금액,발송건수,발송일준수건수,발송일준수율,배송완료건수,배송완료일준수건수,배송완료일준수율,평균배송기간(일),배송기간48시간내건수,배송시간48시간내비율
2023-08-11,-,일반배송,3,90000,3,3,1.0,3,0,,1.2355555555555555,3,1.0
2023-08-10,-,일반배송,2,39000,3,3,1.0,0,0,,0.0,0,
2023-08-09,-,일반배송,0,0,0,0,,2,0,,1.2818518518518518,2,1.0
2023-08-08,-,일반배송,2,47400,2,2,1.0,2,0,,1.663599537037037,2,1.0
2023-08-07,-,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-08-06,-,일반배송,2,51000,0,0,,0,0,,0.0,0,
2023-08-05,-,일반배송,1,21000,0,0,,0,0,,0.0,0,
2023-08-04,-,일반배송,2,78000,0,0,,2,0,,1.8720543981481483,2,1.0
2023-08-03,-,일반배송,0,0,2,2,1.0,1,0,,0.942974537037037,1,1.0
2023-08-02,-,일반배송,3,92000,1,1,1.0,2,0,,6.298113425925926,0,0.0
2023-08-01,-,일반배송,0,0,2,0,0.0,0,0,,0.0,0,
2023-07-28,-,일반배송,3,69400,4,4,1.0,1,0,,1.7457060185185185,1,1.0
2023-07-27,-,일반배송,1,62000,1,1,1.0,6,0,,1.5390393518518517,6,1.0
2023-07-26,-,일반배송,3,194000,6,6,1.0,6,0,,1.836886574074074,5,0.8333333333333334
2023-07-25,-,일반배송,7,204000,0,0,,2,0,,1.5907060185185184,2,1.0
2023-07-24,-,일반배송,6,246000,3,3,1.0,0,0,,0.0,0,
2023-07-23,-,일반배송,1,200000,0,0,,0,0,,0.0,0,
2023-07-22,-,일반배송,0,0,0,0,,1,0,,1.1832291666666668,1,1.0
2023-07-21,-,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-07-20,-,일반배송,1,22000,0,0,,0,0,,0.0,0,
2023-07-19,-,일반배송,0,0,0,0,,2,0,,2.416423611111111,0,0.0
2023-07-17,-,일반배송,1,75000,2,2,1.0,0,0,,0.0,0,
2024-06-29,09시,일반배송,1,489000,0,0,,0,0,,0.0,0,
2024-06-29,13시,일반배송,0,0,0,0,,2,0,,4.399322916666667,0,0.0
2024-06-28,13시,일반배송,0,0,2,0,0.0,0,0,,0.0,0,
2024-06-27,22시,일반배송,1,126400,0,0,,0,0,,0.0,0,
2024-06-27,11시,일반배송,0,0,0,0,,2,0,,0.8537731481481482,2,1.0
2024-06-27,12시,일반배송,0,0,0,0,,1,0,,0.9626273148148149,1,1.0
2024-06-27,14시,일반배송,0,0,0,0,,1,0,,1.6711689814814814,1,1.0
2024-06-27,16시,일반배송,0,0,0,0,,2,0,,1.9793287037037037,1,0.5
2024-06-27,23시,일반배송,0,0,0,0,,1,0,,2.6428587962962964,0,0.0
2024-06-26,14시,일반배송,2,42000,0,0,,0,0,,0.0,0,
2024-06-26,13시,일반배송,1,27000,0,0,,2,0,,2.553148148148148,0,0.0
2024-06-26,10시,일반배송,0,0,0,0,,1,0,,2.4309606481481483,0,0.0
2024-06-26,11시,일반배송,0,0,0,0,,5,0,,2.164384259259259,2,0.4
2024-06-26,16시,일반배송,0,0,7,7,1.0,6,0,,1.9582098765432099,2,0.3333333333333333
2024-06-26,18시,일반배송,0,0,0,0,,1,0,,2.4598958333333334,0,0.0
2024-06-25,15시,일반배송,1,219500,0,0,,0,0,,0.0,0,
2024-06-25,17시,일반배송,1,23500,15,15,1.0,0,0,,0.0,0,
2024-06-25,20시,일반배송,1,959000,0,0,,0,0,,0.0,0,
2024-06-25,22시,일반배송,1,14000,0,0,,0,0,,0.0,0,
2024-06-25,07시,일반배송,1,19600,0,0,,0,0,,0.0,0,
2024-06-25,11시,일반배송,0,0,0,0,,2,0,,2.3513425925925926,0,0.0
2024-06-25,13시,일반배송,0,0,0,0,,2,0,,0.9666782407407407,2,1.0
2024-06-25,18시,일반배송,0,0,0,0,,1,0,,3.3781712962962964,0,0.0
2024-06-25,23시,일반배송,0,0,0,0,,1,0,,6.4827662037037035,0,0.0
2024-06-24,14시,일반배송,5,1221100,0,0,,0,0,,0.0,0,
2024-06-24,18시,일반배송,2,36000,0,0,,0,0,,0.0,0,
2024-06-24,01시,일반배송,2,139400,0,0,,0,0,,0.0,0,
2024-06-24,07시,일반배송,1,97000,0,0,,0,0,,0.0,0,
2024-06-24,17시,일반배송,0,0,6,5,0.8333333333333334,0,0,,0.0,0,
2024-06-23,22시,일반배송,4,408000,0,0,,0,0,,0.0,0,
2024-06-23,15시,일반배송,1,121500,0,0,,0,0,,0.0,0,
2024-06-23,08시,일반배송,1,269500,0,0,,0,0,,0.0,0,
2024-06-22,20시,일반배송,1,342000,0,0,,0,0,,0.0,0,
2024-06-22,13시,일반배송,0,0,0,0,,1,0,,0.5412731481481482,1,1.0
2024-06-21,10시,일반배송,1,48000,0,0,,0,0,,0.0,0,
2024-06-21,11시,일반배송,1,269500,0,0,,0,0,,0.0,0,
2024-06-21,14시,일반배송,1,101900,0,0,,1,0,,2.8636111111111116,0,0.0
2024-06-21,13시,일반배송,0,0,0,0,,1,0,,7.628043981481482,0,0.0
2024-06-21,15시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2024-06-21,16시,일반배송,0,0,0,0,,1,0,,1.6984722222222224,1,1.0
