,매장명,위도,경도,매장타입,주소,전화번호
449,주얼리시티,37.57154914,126.998705,pin_general,서울특별시 종로구 종로 183 (인의동) 효성주얼리시티,1522-3232
450,종각,37.5699183,126.98452810000003,pin_general,서울특별시 종로구 종로 64 (종로2가),1522-3232
451,동숭로아트,37.582969,127.003876,pin_general,서울특별시 종로구 동숭길 110 (동숭동),1522-3232
452,종로관철,37.569058,126.986013,pin_general,"서울특별시 종로구 종로12길 21, 2층 (관철동)",1522-3232
453,경복궁역,37.5771508,126.97274530000004,pin_general,"서울특별시 종로구 자하문로4길 6, 1층 (통의동)",1522-3232
454,이마빌딩,37.5738637,126.97897149999994,pin_general,서울특별시 종로구 종로1길 42 (수송동),1522-3232
455,마로니에공원,37.58154296,127.0023412,pin_general,"서울특별시 종로구 대학로 116, 1-2층 (동숭동)",1522-3232
456,종로3가,37.5705527,126.9902055,pin_general,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)",1522-3232
457,대학로,37.576509,127.001449,pin_general,"서울특별시 종로구 대학로 57, 홍익대학교 대학로캠퍼스 內 (연건동)",1522-3232
458,경복궁사거리,37.575578,126.980581,pin_general,"서울특별시 종로구 율곡로 6, B동 101호(중학동, 트윈트리타워)",1522-3232
459,종로관수,37.569385,126.988665,pin_general,서울특별시 종로구 삼일대로20길 13 (관수동),1522-3232
460,광화문교보문고,37.571017,126.977937,pin_general,서울특별시 종로구 종로 1 (종로1가),1522-3232
461,정동,37.568578,126.970067,pin_general,서울특별시 종로구 새문안로 42 (신문로2가),1522-3232
462,종로플레이스,37.57319,126.998309,pin_general,서울특별시 종로구 창경궁로 120 (인의동),1522-3232
463,강북삼성병원1층,37.568546,126.96756,pin_general,서울특별시 종로구 새문안로 29 (평동),1522-3232
464,동숭길입구,37.584236,127.002014,pin_general,서울특별시 종로구 대학로 146 (혜화동),1522-3232
465,서울대치과병원,37.57790,126.99965,pin_general,서울특별시 종로구 대학로 101 서울대학교 치과병원 신관1층,1522-3232
466,서대문역,37.56670,126.96629,pin_general,서울특별시 종로구 통일로 134 (평동),1522-3232
467,동묘앞역,37.572700,127.016072,pin_general,"서울특별시 종로구 종로 344 (숭인동, 대우디오빌) 101호 일부, 201호 일부",1522-3232
468,숭례문북창,37.561725,126.976838,pin_general,서울특별시 중구 세종대로12길 12 (남대문로4가),1522-3232
469,을지로4가역,37.566682,126.997285,pin_general,서울특별시 중구 을지로 170 (을지로4가),1522-3232
